WAVE,FLUX,ERR,SKYBACK
3642.8645,5.727504E-16,3.7363596E-17,5.3173674E-17
3648.3838,5.292205E-16,3.619663E-17,4.456088E-17
3653.9028,4.964826E-16,3.5109496E-17,3.4075183E-17
3659.422,5.8083236E-16,3.5645572E-17,4.287425E-17
3664.9414,5.876429E-16,3.533646E-17,3.8883315E-17
3670.4607,5.367449E-16,3.419242E-17,4.2468363E-17
3675.98,5.850461E-16,3.4322212E-17,4.802573E-17
3681.4993,5.915875E-16,3.383818E-17,3.1205852E-17
3687.0186,5.846559E-16,3.3483527E-17,4.615612E-17
3692.5378,5.953462E-16,3.325192E-17,5.3678447E-17
3698.057,5.5817137E-16,3.231141E-17,4.9950916E-17
3703.5762,4.8708E-16,3.0980716E-17,5.064612E-17
3709.0955,5.405809E-16,3.1219034E-17,3.970691E-17
3714.6147,5.328852E-16,3.066772E-17,3.3703987E-17
3720.134,5.5073357E-16,3.059742E-17,4.40817E-17
3725.6533,5.66553E-16,3.0492544E-17,4.7104038E-17
3731.1726,4.60483E-16,2.898525E-17,6.8258256E-17
3736.692,5.053416E-16,2.895089E-17,3.711213E-17
3742.211,4.7519946E-16,2.8313595E-17,4.0178442E-17
3747.7302,4.675267E-16,2.77796E-17,3.4259402E-17
3753.2495,4.7165463E-16,2.7563557E-17,3.4778028E-17
3758.7688,3.9596236E-16,2.650202E-17,5.909219E-17
3764.288,3.1014651E-16,2.5143728E-17,6.2703904E-17
3769.8074,3.8169867E-16,2.5723092E-17,4.9268595E-17
3775.3267,3.489578E-16,2.510216E-17,5.78683E-17
3780.846,3.6452407E-16,2.4994543E-17,5.570784E-17
3786.365,2.9535242E-16,2.3840859E-17,5.605616E-17
3791.8843,3.2680715E-16,2.4074463E-17,5.9460416E-17
3797.4036,3.7128353E-16,2.4286514E-17,4.5549124E-17
3802.9229,3.6744742E-16,2.4123133E-17,6.00742E-17
3808.4421,3.7872804E-16,2.3898975E-17,4.8145654E-17
3813.9614,4.1931347E-16,2.4069043E-17,4.171856E-17
3819.4807,4.4523683E-16,2.4251122E-17,4.110645E-17
3824.9998,4.7474725E-16,2.4177834E-17,2.858136E-17
3830.519,3.9927328E-16,2.3217133E-17,3.263031E-17
3836.0383,4.0416055E-16,2.3013865E-17,3.2857513E-17
3841.5576,3.9083244E-16,2.2798171E-17,4.596731E-17
3847.077,3.843757E-16,2.2608489E-17,5.094754E-17
3852.5962,3.6586675E-16,2.22863E-17,5.935342E-17
3858.1155,3.8629994E-16,2.2317745E-17,5.475028E-17
3863.6348,3.7280636E-16,2.1859793E-17,4.8423084E-17
3869.1538,4.3032625E-16,2.2272169E-17,3.7549844E-17
3874.673,3.5210352E-16,2.1208577E-17,3.9695726E-17
3880.1924,3.4723602E-16,2.1070474E-17,4.653368E-17
3885.7117,4.146882E-16,2.164647E-17,3.6192874E-17
3891.231,4.1796912E-16,2.1625984E-17,4.515512E-17
3896.7502,4.440748E-16,2.1790829E-17,5.0596947E-17
3902.2695,4.755651E-16,2.2168343E-17,6.6902864E-17
3907.7888,4.6206447E-16,2.1874771E-17,6.694708E-17
3913.3079,5.278249E-16,2.2360192E-17,5.977334E-17
3918.8271,5.769665E-16,2.2839959E-17,6.396894E-17
3924.3464,6.1934176E-16,2.2997664E-17,4.4810147E-17
3929.8657,6.805006E-16,2.338037E-17,2.855847E-17
3935.385,7.1271893E-16,2.3626991E-17,3.3281453E-17
3940.9043,6.970858E-16,2.3370271E-17,4.741165E-17
3946.4236,7.3436163E-16,2.3788637E-17,5.972214E-17
3951.9429,7.6214675E-16,2.3946318E-17,6.366788E-17
3957.462,7.9732275E-16,2.413683E-17,5.929985E-17
3962.9812,7.867445E-16,2.3808544E-17,4.5303984E-17
3968.5005,8.513007E-16,2.4290672E-17,3.5044638E-17
3974.0198,8.360715E-16,2.4139908E-17,5.8703314E-17
3979.539,9.207306E-16,2.4917574E-17,7.126563E-17
3985.0583,8.946627E-16,2.461288E-17,7.4445296E-17
3990.5776,9.332845E-16,2.4896648E-17,8.170541E-17
3996.097,9.158388E-16,2.4682026E-17,8.7557425E-17
4001.616,9.479146E-16,2.49012E-17,9.4067416E-17
4007.1353,9.474252E-16,2.4838712E-17,1.00866305E-16
4012.6545,9.74285E-16,2.4959207E-17,1.0065397E-16
4018.1738,9.812455E-16,2.4946581E-17,1.06257524E-16
4023.693,9.544797E-16,2.4527358E-17,1.02312415E-16
4029.2124,9.144604E-16,2.4125532E-17,9.890912E-17
4034.7317,8.91531E-16,2.3770656E-17,9.0089855E-17
4040.251,8.331934E-16,2.322436E-17,9.9368803E-17
4045.77,8.3346644E-16,2.3117728E-17,1.0084342E-16
4051.2893,8.1223546E-16,2.2756127E-17,8.919539E-17
4056.8086,7.8468396E-16,2.2463307E-17,9.1803323E-17
4062.328,8.115231E-16,2.2611225E-17,9.574333E-17
4067.8472,8.1428136E-16,2.2579847E-17,9.848715E-17
4073.3665,8.057059E-16,2.235536E-17,8.7918195E-17
4078.8857,8.0330514E-16,2.23693E-17,1.0394114E-16
4084.4048,8.14981E-16,2.2314653E-17,9.593424E-17
4089.924,8.440337E-16,2.2538534E-17,9.814755E-17
4095.4434,8.8328273E-16,2.2736454E-17,9.310308E-17
4100.963,8.997263E-16,2.2761314E-17,8.505336E-17
4106.482,8.570809E-16,2.2316914E-17,8.708539E-17
4112.001,9.079783E-16,2.2747406E-17,9.3029966E-17
4117.5205,9.568189E-16,2.3127533E-17,1.00393184E-16
4123.0396,1.0007292E-15,2.3403717E-17,9.9189596E-17
4128.559,9.462536E-16,2.2872494E-17,1.0101021E-16
4134.078,9.930459E-16,2.3165327E-17,9.7474474E-17
4139.5977,1.072283E-15,2.37669E-17,1.0112398E-16
4145.1167,1.0680093E-15,2.36517E-17,9.9185705E-17
4150.6357,1.0320389E-15,2.3304058E-17,9.832571E-17
4156.1553,1.0329398E-15,2.3190617E-17,9.233901E-17
4161.6743,1.0350657E-15,2.3196368E-17,9.941574E-17
4167.194,1.0319493E-15,2.3139681E-17,1.0556846E-16
4172.713,1.0616237E-15,2.3261627E-17,9.6659E-17
4178.2324,9.92833E-16,2.2606934E-17,9.868883E-17
4183.7515,9.987011E-16,2.2599244E-17,9.623186E-17
4189.271,9.945784E-16,2.2437898E-17,8.755723E-17
4194.79,9.922762E-16,2.2393625E-17,9.171407E-17
4200.309,9.048882E-16,2.1717374E-17,1.0171872E-16
4205.8286,9.61442E-16,2.2037607E-17,9.0620554E-17
4211.3477,9.665076E-16,2.1981192E-17,8.6224546E-17
4216.867,9.427457E-16,2.1754124E-17,8.9931056E-17
4222.386,9.220516E-16,2.148926E-17,8.431655E-17
4227.906,9.529904E-16,2.1651591E-17,7.825724E-17
4233.425,9.342202E-16,2.1434318E-17,7.5853395E-17
4238.944,9.591082E-16,2.1595062E-17,7.957513E-17
4244.4634,9.652407E-16,2.1637839E-17,8.334997E-17
4249.9824,9.440426E-16,2.147638E-17,9.0233454E-17
4255.502,9.220753E-16,2.1232477E-17,8.72947E-17
4261.021,9.036937E-16,2.1044497E-17,8.855654E-17
4266.5405,8.907583E-16,2.0839614E-17,7.864094E-17
4272.0596,8.5758714E-16,2.057351E-17,8.6004536E-17
4277.579,8.548833E-16,2.0482258E-17,8.299228E-17
4283.098,8.5557517E-16,2.037772E-17,7.141699E-17
4288.617,7.8565975E-16,1.979621E-17,7.790028E-17
4294.1367,7.7865605E-16,1.964271E-17,7.1182796E-17
4299.656,7.9479706E-16,1.9666767E-17,5.8360226E-17
4305.1753,7.9800594E-16,1.9638854E-17,5.5548586E-17
4310.6943,7.624924E-16,1.9350817E-17,6.233445E-17
4316.214,7.212097E-16,1.9053902E-17,7.853806E-17
4321.733,7.145527E-16,1.8958834E-17,7.8129995E-17
4327.252,6.867311E-16,1.8673053E-17,7.7535616E-17
4332.7715,6.9731034E-16,1.872671E-17,7.7769344E-17
4338.2905,6.6622874E-16,1.8374712E-17,6.987778E-17
4343.81,6.40234E-16,1.8177575E-17,7.7593744E-17
4349.329,6.558733E-16,1.8243813E-17,6.991235E-17
4354.8486,6.47835E-16,1.8199024E-17,7.8883384E-17
4360.3677,6.066577E-16,1.7845803E-17,8.581898E-17
4365.8867,6.0986235E-16,1.7841568E-17,8.618461E-17
4371.4062,6.1772313E-16,1.7898003E-17,9.037485E-17
4376.9253,6.0002416E-16,1.7658187E-17,8.009026E-17
4382.445,6.086847E-16,1.7722446E-17,7.7776365E-17
4387.964,5.860459E-16,1.7544046E-17,8.574121E-17
4393.4834,6.657173E-16,1.8172185E-17,7.8484677E-17
4399.0024,6.5468807E-16,1.8067798E-17,8.0443176E-17
4404.522,6.633732E-16,1.8155503E-17,8.6294585E-17
4410.041,6.795466E-16,1.8252237E-17,8.7413125E-17
4415.56,7.4058685E-16,1.8804012E-17,9.300564E-17
4421.0796,6.870616E-16,1.8317956E-17,9.246652E-17
4426.5986,6.9113675E-16,1.8340526E-17,9.462743E-17
4432.118,7.536301E-16,1.886463E-17,9.9207516E-17
4437.637,7.4164283E-16,1.869382E-17,9.130552E-17
4443.1567,7.423279E-16,1.873075E-17,9.986117E-17
4448.676,8.0099544E-16,1.9084481E-17,8.441119E-17
4454.195,8.059798E-16,1.9126937E-17,8.692499E-17
4459.7144,7.933415E-16,1.8973169E-17,8.289522E-17
4465.2334,8.081255E-16,1.907411E-17,8.3861145E-17
4470.753,8.0163357E-16,1.9011916E-17,8.492608E-17
4476.272,7.8973535E-16,1.8833835E-17,7.748374E-17
4481.7915,8.016449E-16,1.896871E-17,8.7366744E-17
4487.3105,7.7088834E-16,1.868814E-17,8.6846454E-17
4492.83,7.7397366E-16,1.8775116E-17,9.834176E-17
4498.349,7.458265E-16,1.8498248E-17,9.4921497E-17
4503.868,7.1372907E-16,1.8171462E-17,8.964166E-17
4509.3877,7.368634E-16,1.833642E-17,8.926874E-17
4514.9067,7.325785E-16,1.829191E-17,9.013083E-17
4520.4263,7.461874E-16,1.8373255E-17,8.8261674E-17
4525.9453,7.6891195E-16,1.8542954E-17,8.7493123E-17
4531.465,8.082112E-16,1.8818375E-17,8.620783E-17
4536.984,8.166371E-16,1.8899323E-17,8.861901E-17
4542.503,8.4516545E-16,1.9104903E-17,8.85555E-17
4548.0225,8.6297204E-16,1.9224445E-17,8.888945E-17
4553.5415,9.104137E-16,1.9551119E-17,8.6856347E-17
4559.061,9.042008E-16,1.9521142E-17,8.9380094E-17
4564.58,9.516701E-16,1.9846238E-17,8.632684E-17
4570.0996,9.38254E-16,1.9709117E-17,8.516592E-17
4575.6187,9.433241E-16,1.9726812E-17,8.331879E-17
4581.138,9.488142E-16,1.9798613E-17,8.987909E-17
4586.657,9.484838E-16,1.9729938E-17,8.2366086E-17
4592.1763,9.58558E-16,1.979551E-17,8.19311E-17
4597.696,9.833643E-16,1.997317E-17,8.400111E-17
4603.215,9.469673E-16,1.9684614E-17,8.631003E-17
4608.7344,9.700614E-16,1.9843512E-17,8.501605E-17
4614.2534,9.439596E-16,1.9695382E-17,9.3526804E-17
4619.773,9.75769E-16,1.9873697E-17,8.6493836E-17
4625.292,9.287808E-16,1.9470875E-17,8.424465E-17
4630.811,9.594864E-16,1.9607938E-17,8.070658E-17
4636.3306,9.298907E-16,1.9432585E-17,8.72407E-17
4641.8496,9.726562E-16,1.9692355E-17,8.092184E-17
4647.369,9.785348E-16,1.9713893E-17,7.825816E-17
