WAVE,FLUX,ERR,SKYBACK
3648.1812,3.725325E-17,8.493286E-18,1.8228692E-17
3653.7021,2.587905E-17,8.339598E-18,2.5345185E-17
3659.2234,8.156353E-18,7.985689E-18,1.9898053E-17
3664.7444,1.9664669E-17,8.047978E-18,1.533145E-17
3670.2654,3.876793E-18,7.754054E-18,1.7906947E-17
3675.7866,4.7373073E-19,7.619724E-18,1.3010837E-17
3681.3076,-3.5773572E-18,7.593019E-18,1.6636506E-17
3686.8286,-2.5238048E-19,7.448441E-18,1.03959505E-17
3692.3499,1.5051375E-17,7.661859E-18,1.812838E-17
3697.8708,1.3706368E-17,7.6680015E-18,2.6328922E-17
3703.3918,1.0100176E-17,7.4958834E-18,2.2403634E-17
3708.913,4.731663E-18,7.349522E-18,2.3910666E-17
3714.434,1.2802015E-17,7.383422E-18,2.3131265E-17
3719.955,1.30044414E-17,7.3187725E-18,2.6150511E-17
3725.4763,2.3908316E-17,7.384927E-18,2.6095312E-17
3730.9973,1.150494E-17,7.158107E-18,2.8339562E-17
3736.5183,2.3396373E-17,7.2982865E-18,3.342452E-17
3742.0396,2.7815857E-17,7.218845E-18,2.8769017E-17
3747.5605,1.9003257E-17,7.088631E-18,3.2444575E-17
3753.0815,9.8396194E-18,6.7895204E-18,2.780852E-17
3758.6028,2.2034722E-17,6.823274E-18,2.0668216E-17
3764.1238,2.7410178E-17,6.741676E-18,1.4918206E-17
3769.6448,2.2316764E-17,6.6203222E-18,1.6890727E-17
3775.166,2.19851E-17,6.601032E-18,2.2091382E-17
3780.687,1.9876164E-17,6.445975E-18,1.7017691E-17
3786.208,3.0824935E-17,6.593903E-18,2.3878079E-17
3791.7292,2.2071867E-17,6.4201842E-18,2.4994498E-17
3797.2502,8.849226E-18,6.115962E-18,1.8911903E-17
3802.7712,4.9900452E-18,5.9942636E-18,1.9066818E-17
3808.2925,2.7245933E-17,6.2943022E-18,2.3903893E-17
3813.8135,2.1676653E-17,6.123358E-18,2.272647E-17
3819.3345,1.7790352E-17,6.0675344E-18,2.7944795E-17
3824.8557,2.1236176E-17,6.0798553E-18,2.957192E-17
3830.3767,2.9291643E-17,6.1314163E-18,2.866275E-17
3835.8977,2.5116013E-17,6.019042E-18,2.8752858E-17
3841.4187,1.719591E-17,5.9058533E-18,3.3973823E-17
3846.94,2.2534061E-17,5.8735014E-18,2.8716422E-17
3852.461,2.6370796E-17,5.800351E-18,2.3194756E-17
3857.982,3.1879736E-17,5.8095322E-18,2.2009159E-17
3863.5032,1.6044629E-17,5.483815E-18,1.7168474E-17
3869.0242,4.7961586E-18,5.3587167E-18,2.164583E-17
3874.5452,4.315783E-17,5.70655E-18,1.2318313E-17
3880.0664,2.5771813E-17,5.466601E-18,1.6207492E-17
3885.5874,2.1737723E-17,5.36494E-18,1.5922793E-17
3891.1084,2.3580013E-17,5.3765085E-18,1.7837806E-17
3896.6296,3.966666E-17,5.5597613E-18,2.0294041E-17
3902.1506,1.8782582E-17,5.37284E-18,3.0442963E-17
3907.6716,1.9265632E-17,5.3104722E-18,2.7405445E-17
3913.1929,4.0702143E-17,5.51293E-18,2.5494216E-17
3918.7139,4.2154553E-17,5.5287594E-18,2.9819977E-17
3924.2349,2.908496E-17,5.2829317E-18,2.6864466E-17
3929.756,2.1235707E-17,5.1192835E-18,2.3462394E-17
3935.277,3.8326103E-17,5.2069568E-18,1.608854E-17
3940.798,2.7113544E-17,5.1592975E-18,2.6729835E-17
3946.3193,2.5381324E-17,5.0465458E-18,2.2463939E-17
3951.8403,1.8661749E-17,4.9558185E-18,2.4446483E-17
3957.3613,3.0164623E-17,4.9963653E-18,1.7616831E-17
3962.8826,4.4398234E-17,5.151783E-18,1.9550267E-17
3968.4036,3.9921447E-17,5.0796835E-18,2.076896E-17
3973.9246,2.5989596E-17,4.861475E-18,2.0449251E-17
3979.4458,2.9706197E-17,4.8726356E-18,2.2256418E-17
3984.9668,3.5898772E-17,4.9809677E-18,2.519807E-17
3990.4878,4.03726E-17,5.0529324E-18,3.0318198E-17
3996.009,1.5485867E-17,4.6621045E-18,2.6559831E-17
4001.53,2.3057006E-17,4.810169E-18,3.309927E-17
4007.051,3.5943903E-17,4.952379E-18,3.365102E-17
4012.5723,3.479228E-17,4.9083272E-18,3.4290795E-17
4018.0933,1.8330212E-17,4.7373295E-18,3.923049E-17
4023.6143,1.0919143E-17,4.5643073E-18,3.4330904E-17
4029.1355,2.39293E-17,4.689193E-18,3.3346347E-17
4034.6565,1.5504496E-17,4.594738E-18,3.7463797E-17
4040.1775,1.4229505E-17,4.5904566E-18,4.106087E-17
4045.6987,1.8121259E-17,4.6047796E-18,3.965501E-17
4051.2197,2.4125391E-17,4.6211644E-18,3.735218E-17
4056.7407,3.275564E-17,4.7177055E-18,3.859194E-17
4062.262,2.1875532E-17,4.5993616E-18,4.0813204E-17
4067.783,1.0547406E-17,4.5429847E-18,4.2803983E-17
4073.304,2.1545499E-17,4.4989125E-18,3.6946055E-17
4078.8252,2.660475E-17,4.543074E-18,3.6668768E-17
4084.3462,2.7911592E-17,4.5675557E-18,3.9038316E-17
4089.8672,1.931552E-17,4.4226787E-18,3.7197753E-17
4095.3884,2.3716353E-17,4.423447E-18,3.556199E-17
4100.909,3.4343063E-17,4.519594E-18,3.3039268E-17
4106.4307,3.350601E-17,4.46903E-18,3.170331E-17
4111.9517,2.6043825E-17,4.42109E-18,3.740106E-17
4117.4727,3.5747494E-17,4.435143E-18,2.9429204E-17
4122.9937,3.620923E-17,4.4735483E-18,3.5352644E-17
4128.5146,3.7723767E-17,4.462631E-18,3.3554413E-17
4134.0356,2.785911E-17,4.3557615E-18,3.6344784E-17
4139.557,2.3735708E-17,4.2952247E-18,3.704444E-17
4145.078,3.6597822E-17,4.389486E-18,3.3543362E-17
4150.599,3.7611482E-17,4.426873E-18,3.7334516E-17
4156.12,3.5069735E-17,4.4028144E-18,3.8622396E-17
4161.641,3.402611E-17,4.37676E-18,3.9743828E-17
4167.162,3.3946037E-17,4.3584436E-18,4.0688204E-17
4172.6836,4.668652E-17,4.498819E-18,4.046552E-17
4178.2046,3.805768E-17,4.3703753E-18,4.0534672E-17
4183.7256,2.926808E-17,4.2522018E-18,4.0538908E-17
4189.2466,4.1700574E-17,4.344278E-18,3.5668263E-17
4194.7676,4.2923888E-17,4.3353078E-18,3.5748364E-17
4200.2886,3.7158515E-17,4.2449466E-18,3.490772E-17
4205.81,3.9568267E-17,4.3039845E-18,3.908064E-17
4211.331,4.2391087E-17,4.265656E-18,3.3924828E-17
4216.852,4.2520568E-17,4.219556E-18,2.9284794E-17
4222.373,4.6798637E-17,4.2565705E-18,3.0472864E-17
4227.894,3.3464425E-17,4.096688E-18,3.1087436E-17
4233.415,2.955358E-17,4.034148E-18,3.166684E-17
4238.9365,4.4443385E-17,4.191922E-18,3.0252625E-17
4244.4575,4.846217E-17,4.231863E-18,3.1106772E-17
4249.9785,4.001294E-17,4.151488E-18,3.3982605E-17
4255.4995,3.2196933E-17,4.018553E-18,3.1377042E-17
4261.0205,4.4044013E-17,4.14989E-18,3.137499E-17
4266.5415,4.1408254E-17,4.1126796E-18,3.270466E-17
4272.063,3.4477507E-17,4.0538476E-18,3.5111183E-17
4277.584,2.6862714E-17,3.9141872E-18,3.1477084E-17
4283.105,3.8522086E-17,4.037888E-18,3.0417694E-17
4288.626,4.7984585E-17,4.1388664E-18,3.0957777E-17
4294.147,4.447997E-17,4.081846E-18,3.042229E-17
4299.668,3.3882638E-17,3.9875503E-18,3.3779303E-17
4305.1895,3.4396684E-17,3.9153784E-18,2.7509832E-17
4310.7104,3.797409E-17,3.9746512E-18,2.988028E-17
4316.2314,4.063096E-17,4.0057813E-18,3.1627006E-17
4321.7524,2.9969538E-17,3.875743E-18,3.202604E-17
4327.2734,3.4460047E-17,3.9111556E-18,3.0334295E-17
4332.7944,3.72052E-17,3.9731623E-18,3.451491E-17
4338.316,3.4245827E-17,3.8792513E-18,3.16376E-17
4343.837,2.763342E-17,3.8105485E-18,3.171639E-17
4349.358,3.6402184E-17,3.893458E-18,3.1633736E-17
4354.879,3.303577E-17,3.8715924E-18,3.2990458E-17
4360.4,3.976549E-17,3.9573268E-18,3.3729295E-17
4365.921,3.290935E-17,3.8985068E-18,3.6564526E-17
4371.4424,2.3490043E-17,3.742355E-18,3.3850004E-17
4376.9634,3.38762E-17,3.863226E-18,3.351298E-17
4382.4844,3.5351046E-17,3.8489653E-18,3.1291836E-17
4388.0054,3.214377E-17,3.8017436E-18,3.089629E-17
4393.5264,2.5853778E-17,3.7262357E-18,3.136013E-17
4399.0474,2.8243556E-17,3.7301106E-18,2.9748015E-17
4404.569,3.6287384E-17,3.8545756E-18,3.3636426E-17
4410.09,3.9569025E-17,3.9204047E-18,3.777114E-17
4415.611,2.2976363E-17,3.7515672E-18,3.984566E-17
4421.132,2.7945926E-17,3.842004E-18,4.3214307E-17
4426.653,3.1625983E-17,3.84235E-18,4.0693355E-17
4432.174,3.6659655E-17,3.881971E-18,3.9626372E-17
4437.6953,3.020568E-17,3.7954053E-18,3.889502E-17
4443.2163,3.222811E-17,3.8157825E-18,3.8504146E-17
4448.7373,3.3419758E-17,3.794865E-18,3.5659717E-17
4454.2583,3.9167558E-17,3.8486154E-18,3.465315E-17
4459.7793,2.9993483E-17,3.7456992E-18,3.7914052E-17
4465.3003,2.8715717E-17,3.7033463E-18,3.382273E-17
4470.8213,3.5845515E-17,3.760742E-18,3.1240875E-17
4476.343,4.481532E-17,3.8717007E-18,3.3011395E-17
4481.864,3.741076E-17,3.797597E-18,3.4223264E-17
4487.385,3.2309274E-17,3.705863E-18,3.3601794E-17
4492.906,3.8033506E-17,3.762698E-18,3.3315057E-17
4498.427,3.7988045E-17,3.7463527E-18,3.2659344E-17
4503.9478,3.1770025E-17,3.7145555E-18,3.6120777E-17
4509.469,3.5447727E-17,3.7486915E-18,3.576733E-17
4514.99,3.2442758E-17,3.6942713E-18,3.4441994E-17
4520.511,4.5433825E-17,3.8127683E-18,3.3201723E-17
4526.032,3.553679E-17,3.7260847E-18,3.5557944E-17
4531.553,3.7392478E-17,3.75074E-18,3.6107807E-17
4537.074,2.343605E-17,3.6210874E-18,4.001791E-17
4542.5957,3.968085E-17,3.758944E-18,3.4925157E-17
4548.1167,4.416833E-17,3.8494624E-18,3.9682574E-17
4553.6377,4.1845148E-17,3.7952035E-18,3.738415E-17
4559.1587,4.3043898E-17,3.8085013E-18,3.7066896E-17
4564.6797,4.614406E-17,3.8058427E-18,3.3725146E-17
4570.2007,4.3828535E-17,3.755247E-18,3.1834804E-17
4575.722,4.1214257E-17,3.758734E-18,3.5499763E-17
4581.243,4.3184833E-17,3.7756994E-18,3.5563803E-17
4586.764,4.0369898E-17,3.7307624E-18,3.4294538E-17
4592.285,4.207369E-17,3.7329486E-18,3.308871E-17
4597.806,4.3374357E-17,3.75335E-18,3.4285975E-17
4603.327,3.1839896E-17,3.6391683E-18,3.6112727E-17
4608.8486,3.5516085E-17,3.6424543E-18,3.344079E-17
4614.3696,4.209695E-17,3.7098E-18,3.2962317E-17
4619.8906,4.0417623E-17,3.692621E-18,3.369595E-17
4625.4116,3.579507E-17,3.6582096E-18,3.6462555E-17
4630.9326,3.19385E-17,3.6231793E-18,3.713611E-17
4636.4536,2.3489476E-17,3.4743844E-18,3.312307E-17
4641.975,3.6495338E-17,3.6124987E-18,3.1397414E-17
4647.496,3.8092928E-17,3.6086664E-18,3.0418598E-17
4653.017,3.239242E-17,3.5712853E-18,3.3300525E-17
4658.538,2.9234975E-17,3.549486E-18,3.4541997E-17
4664.059,3.7935555E-17,3.648E-18,3.4640137E-17
4669.58,3.7986887E-17,3.658138E-18,3.607136E-17
4675.1016,2.7254928E-17,3.5286276E-18,3.6145367E-17
4680.6226,2.9401268E-17,3.531154E-18,3.3928834E-17
4686.1436,2.8920034E-17,3.51489E-18,3.3421743E-17
4691.6646,3.4610243E-17,3.5901876E-18,3.467148E-17
4697.1855,2.7417752E-17,3.490544E-18,3.3282916E-17
4702.7065,2.4499061E-17,3.4527102E-18,3.501626E-17
4708.228,2.3667313E-17,3.4354258E-18,3.342106E-17
4713.749,2.9555554E-17,3.5056105E-18,3.352714E-17
4719.27,3.003281E-17,3.4919984E-18,3.1960095E-17
4724.791,2.5718926E-17,3.4562859E-18,3.382083E-17
4730.312,2.5381657E-17,3.4376046E-18,3.327315E-17
4735.833,2.900228E-17,3.478376E-18,3.334052E-17
4741.3545,3.3972404E-17,3.5329666E-18,3.2943993E-17
4746.8755,3.3183273E-17,3.5051233E-18,3.1596202E-17
4752.3965,3.0263614E-17,3.476019E-18,3.2684947E-17
4757.9175,3.5798455E-17,3.5344195E-18,3.2569684E-17
4763.4385,3.1898212E-17,3.4517056E-18,2.9423787E-17
4768.9595,3.4809762E-17,3.4916977E-18,2.9943925E-17
4774.481,3.429852E-17,3.496663E-18,3.2552604E-17
4780.002,3.3109184E-17,3.4924856E-18,3.2994355E-17
4785.523,3.3209846E-17,3.4758415E-18,3.1336983E-17
4791.044,4.7505426E-17,3.6397953E-18,3.156077E-17
4796.565,3.1461136E-17,3.4534336E-18,3.19618E-17
4802.086,3.7901727E-17,3.5474906E-18,3.3626E-17
4807.6074,4.8149336E-17,3.6259024E-18,3.0592607E-17
4813.1284,4.4351717E-17,3.6108316E-18,3.355384E-17
4818.6494,4.173186E-17,3.6039577E-18,3.6267704E-17
4824.1704,3.9820968E-17,3.591065E-18,3.6935073E-17
4829.6914,4.7288387E-17,3.6607143E-18,3.6025244E-17
4835.2124,5.955109E-17,3.7829815E-18,3.5950014E-17
4840.734,5.5707444E-17,3.7360634E-18,3.536599E-17
4846.255,4.8795087E-17,3.6714E-18,3.645591E-17
4851.776,4.9043932E-17,3.649949E-18,3.4310383E-17
4857.297,5.3003765E-17,3.6827318E-18,3.32997E-17
4862.818,5.764152E-17,3.7092524E-18,3.1586712E-17
4868.339,5.88986E-17,3.716489E-18,3.140872E-17
4873.8604,5.801638E-17,3.7114275E-18,3.173494E-17
4879.3813,5.762617E-17,3.6984763E-18,3.131219E-17
4884.9023,6.80511E-17,3.804111E-18,3.1097746E-17
4890.4233,6.495624E-17,3.7726107E-18,3.1738685E-17
4895.9443,6.346166E-17,3.791715E-18,3.5406437E-17
4901.4653,6.093131E-17,3.7474404E-18,3.3362034E-17
4906.9863,6.3397E-17,3.737101E-18,3.0276872E-17
4912.508,7.514177E-17,3.868922E-18,3.1612745E-17
4918.029,6.7358317E-17,3.7954235E-18,3.2248996E-17
4923.55,5.6760174E-17,3.699157E-18,3.425355E-17
4929.071,6.536094E-17,3.767208E-18,3.2037003E-17
4934.592,5.971237E-17,3.7098587E-18,3.2155806E-17
4940.113,6.044809E-17,3.7190222E-18,3.286691E-17
4945.6343,4.948011E-17,3.6301206E-18,3.5249878E-17
4951.1553,5.2000408E-17,3.606019E-18,3.092433E-17
4956.6763,5.829619E-17,3.680227E-18,3.1360773E-17
4962.1973,5.6957076E-17,3.6960882E-18,3.4428332E-17
4967.7183,4.2761257E-17,3.5495764E-18,3.55058E-17
4973.2393,4.0682215E-17,3.494816E-18,3.2257774E-17
4978.7607,5.278578E-17,3.6021098E-18,3.0782276E-17
4984.2817,5.4214526E-17,3.6416974E-18,3.2741364E-17
4989.8027,4.690745E-17,3.567964E-18,3.28273E-17
4995.3237,4.768923E-17,3.595805E-18,3.5414543E-17
5000.8447,4.1825292E-17,3.5025776E-18,3.267673E-17
5006.3657,4.7696756E-17,3.539909E-18,3.144019E-17
5011.887,4.322156E-17,3.500919E-18,3.326875E-17
5017.408,3.8859198E-17,3.4423921E-18,3.2472398E-17
5022.929,3.627378E-17,3.388686E-18,3.0391397E-17
5028.45,4.1308364E-17,3.424492E-18,2.7357864E-17
5033.971,4.2819805E-17,3.449511E-18,2.8686485E-17
5039.492,4.1973368E-17,3.4462756E-18,2.972409E-17
5045.0137,3.1334118E-17,3.3259233E-18,2.9643566E-17
5050.5347,3.5405372E-17,3.3637703E-18,2.8984405E-17
5056.0557,3.7487236E-17,3.3768943E-18,2.9837037E-17
5061.5767,3.7137303E-17,3.3809508E-18,2.9385257E-17
5067.0977,3.4749874E-17,3.358037E-18,2.930793E-17
5072.6187,3.3956257E-17,3.3317623E-18,2.7737763E-17
5078.14,4.135149E-17,3.4106305E-18,2.7255565E-17
5083.661,4.2106335E-17,3.4544981E-18,3.1157587E-17
5089.182,3.9542896E-17,3.4191463E-18,3.0186818E-17
5094.703,3.75578E-17,3.3717782E-18,2.7958923E-17
5100.224,4.6768312E-17,3.476864E-18,2.82803E-17
5105.745,4.5272505E-17,3.4731072E-18,2.9724166E-17
5111.2666,4.4253614E-17,3.4599724E-18,2.9839723E-17
5116.7876,4.556198E-17,3.468255E-18,2.930946E-17
5122.3086,5.0336266E-17,3.5125406E-18,2.925095E-17
5127.8296,5.0974214E-17,3.5123172E-18,2.8100318E-17
5133.3506,4.3710222E-17,3.4484653E-18,2.9567164E-17
5138.8716,4.0499252E-17,3.4262747E-18,3.1077414E-17
5144.393,3.974851E-17,3.3981047E-18,2.9834065E-17
5149.914,3.7005615E-17,3.38074E-18,3.13762E-17
5155.435,4.649007E-17,3.500017E-18,3.249141E-17
5160.956,3.866682E-17,3.3921118E-18,3.0209146E-17
5166.477,3.8037384E-17,3.3533023E-18,2.7182371E-17
5171.998,4.4289685E-17,3.4103416E-18,2.5611803E-17
5177.5195,4.760428E-17,3.449661E-18,2.597079E-17
5183.0405,4.414203E-17,3.466135E-18,3.1839188E-17
5188.5615,4.1466346E-17,3.4676236E-18,3.5320563E-17
5194.0825,5.3551203E-17,3.6263395E-18,3.834878E-17
5199.6035,5.2349856E-17,3.5890114E-18,3.6311257E-17
5205.1245,5.7822195E-17,3.672458E-18,3.8651023E-17
5210.646,4.9859807E-17,3.6250934E-18,4.2411747E-17
5216.167,5.655723E-17,3.626085E-18,3.572393E-17
5221.688,4.734744E-17,3.4906985E-18,3.1420307E-17
5227.209,6.6796694E-17,3.691608E-18,3.115322E-17
5232.73,6.06707E-17,3.664957E-18,3.500629E-17
5238.251,5.4741337E-17,3.577914E-18,3.391888E-17
5243.7725,5.226225E-17,3.549544E-18,3.30148E-17
5249.2935,6.764437E-17,3.6990438E-18,3.1475834E-17
5254.8145,6.7512576E-17,3.7045474E-18,3.163966E-17
5260.3354,5.4869295E-17,3.5813364E-18,3.3438975E-17
5265.8564,5.4016178E-17,3.537137E-18,3.019431E-17
5271.3774,5.5890774E-17,3.551723E-18,2.8668217E-17
5276.899,5.439698E-17,3.5480407E-18,3.0663592E-17
5282.42,5.0184012E-17,3.498608E-18,2.986234E-17
5287.941,4.0921078E-17,3.4049606E-18,3.185151E-17
5293.462,4.984351E-17,3.504107E-18,3.0335962E-17
5298.983,4.761844E-17,3.471052E-18,2.9712132E-17
5304.504,4.7846056E-17,3.47851E-18,3.090646E-17
5310.025,4.5780754E-17,3.448121E-18,2.9984817E-17
5315.5464,3.7793124E-17,3.3847463E-18,3.2034382E-17
5321.0674,4.565363E-17,3.469362E-18,3.1834215E-17
5326.5884,4.037531E-17,3.4177488E-18,3.201091E-17
5332.1094,3.671187E-17,3.402664E-18,3.52897E-17
5337.6304,3.702592E-17,3.3551831E-18,2.986785E-17
5343.1514,3.6031908E-17,3.3751961E-18,3.2768482E-17
5348.673,4.162154E-17,3.4221004E-18,3.1847923E-17
5354.194,4.0831643E-17,3.3999005E-18,3.0540048E-17
5359.715,3.075263E-17,3.3086658E-18,3.257831E-17
5365.236,3.4140275E-17,3.3114234E-18,2.8796063E-17
5370.757,3.8526093E-17,3.38539E-18,3.1135843E-17
5376.278,3.7538915E-17,3.3800506E-18,3.16838E-17
5381.7993,3.7432216E-17,3.3505859E-18,2.9905507E-17
5387.3203,3.5838027E-17,3.3444416E-18,2.9993195E-17
5392.8413,2.9126998E-17,3.2597407E-18,2.9576015E-17
5398.3623,3.3917E-17,3.3154855E-18,2.956294E-17
5403.8833,3.4721386E-17,3.3219807E-18,2.9458956E-17
5409.4043,3.628764E-17,3.324776E-18,2.8026166E-17
5414.926,3.536172E-17,3.3107263E-18,2.7251235E-17
5420.447,3.573567E-17,3.3257247E-18,2.8417095E-17
5425.968,3.521847E-17,3.351375E-18,3.181635E-17
5431.489,3.0526078E-17,3.2796218E-18,3.0113027E-17
5437.01,3.6294286E-17,3.3397436E-18,2.949756E-17
5442.531,3.527385E-17,3.3484393E-18,3.1335362E-17
5448.0522,3.1209204E-17,3.305154E-18,3.1689147E-17
5453.573,3.287017E-17,3.3353597E-18,3.3287968E-17
5459.094,3.3242324E-17,3.3384158E-18,3.3145197E-17
5464.615,3.09148E-17,3.2827225E-18,3.0411153E-17
5470.136,3.0906197E-17,3.3205236E-18,3.4002334E-17
5475.657,4.1272756E-17,3.4202467E-18,3.1702107E-17
5481.1787,3.6491417E-17,3.35642E-18,3.0770606E-17
5486.6997,2.8785545E-17,3.2828222E-18,3.188387E-17
5492.2207,4.165083E-17,3.4150034E-18,3.0528798E-17
5497.7417,3.8986988E-17,3.3855487E-18,3.0277133E-17
5503.2627,3.4865507E-17,3.3597252E-18,3.2690502E-17
5508.7837,3.52402E-17,3.3646345E-18,3.2574915E-17
5514.305,4.2711636E-17,3.4388665E-18,3.1855903E-17
5519.826,4.251488E-17,3.4304998E-18,3.0874056E-17
5525.347,4.5274593E-17,3.465339E-18,3.1208932E-17
5530.868,4.1716263E-17,3.445875E-18,3.4097348E-17
5536.389,4.0664222E-17,3.441922E-18,3.4228016E-17
5541.91,4.4989407E-17,3.487867E-18,3.4142032E-17
5547.4316,4.877559E-17,3.513668E-18,3.2287874E-17
5552.9526,4.4637012E-17,3.4865088E-18,3.473858E-17
5558.4736,5.636774E-17,3.8247467E-18,5.8160234E-17
5563.9946,4.5038237E-17,4.539811E-18,1.6396051E-16
5569.5156,5.399194E-17,5.0459953E-18,2.2868466E-16
5575.0366,4.915498E-17,5.0106155E-18,2.2823078E-16
5580.558,5.099526E-17,5.021038E-18,2.2858891E-16
5586.079,5.980369E-17,5.112401E-18,2.3149665E-16
5591.6,5.8723186E-17,4.897816E-18,1.9989318E-16
5597.121,5.557301E-17,4.0248623E-18,8.287172E-17
5602.642,5.663256E-17,3.6571466E-18,3.845381E-17
5608.163,5.4148646E-17,3.6360097E-18,3.8691165E-17
5613.6846,5.9349964E-17,3.666328E-18,3.6297287E-17
5619.2056,6.293252E-17,3.6912327E-18,3.5109565E-17
5624.7266,6.070722E-17,3.667528E-18,3.492107E-17
5630.2476,5.901523E-17,3.6270596E-18,3.221653E-17
5635.7686,6.0240904E-17,3.653028E-18,3.303056E-17
5641.2896,6.1601874E-17,3.6725123E-18,3.337064E-17
5646.811,6.284529E-17,3.683898E-18,3.3546508E-17
5652.332,6.700316E-17,3.7377446E-18,3.434362E-17
5657.853,5.6328505E-17,3.6424816E-18,3.6567782E-17
5663.374,6.212452E-17,3.649842E-18,3.2819003E-17
5668.895,6.155143E-17,3.6578526E-18,3.3931508E-17
5674.416,6.330573E-17,3.676205E-18,3.4828344E-17
5679.9375,6.3198213E-17,3.69149E-18,3.574393E-17
5685.4585,6.775015E-17,3.761431E-18,3.866128E-17
5690.9795,6.573593E-17,3.7463668E-18,3.9085425E-17
5696.5005,6.156887E-17,3.687201E-18,3.731141E-17
5702.0215,6.359181E-17,3.7173E-18,3.8031812E-17
5707.5425,6.392668E-17,3.712933E-18,3.6905325E-17
5713.064,6.068267E-17,3.6696135E-18,3.6318738E-17
5718.585,5.4530396E-17,3.611431E-18,3.6783756E-17
5724.106,6.331198E-17,3.7015356E-18,3.649871E-17
5729.627,6.7933E-17,3.743425E-18,3.5160612E-17
5735.148,6.986222E-17,3.7405914E-18,3.3811762E-17
5740.669,6.4379136E-17,3.724774E-18,3.741965E-17
5746.19,6.985024E-17,3.7585023E-18,3.463506E-17
5751.7114,6.998282E-17,3.7419045E-18,3.3471854E-17
5757.2324,6.3529145E-17,3.662095E-18,3.1709903E-17
5762.7534,6.389037E-17,3.706609E-18,3.5638865E-17
5768.2744,7.839488E-17,3.819533E-18,3.1842268E-17
5773.7954,6.951292E-17,3.754473E-18,3.5183535E-17
5779.3164,7.587792E-17,3.838285E-18,3.6299915E-17
5784.838,7.3314235E-17,3.8110548E-18,3.6691935E-17
5790.359,7.936647E-17,3.852107E-18,3.4675736E-17
5795.88,9.0780564E-17,3.9559466E-18,3.297462E-17
5801.401,8.572819E-17,3.926994E-18,3.6102222E-17
5806.922,8.510644E-17,3.9176266E-18,3.5229162E-17
5812.443,8.636794E-17,3.948151E-18,3.7641492E-17
5817.9644,8.9261033E-17,3.9620256E-18,3.5807084E-17
5823.4854,8.540711E-17,3.9320916E-18,3.682978E-17
5829.0063,1.0056756E-16,4.061809E-18,3.5135664E-17
5834.5273,9.039256E-17,3.9951546E-18,3.9058003E-17
5840.0483,9.250385E-17,4.009461E-18,3.7741264E-17
5845.5693,9.3868886E-17,3.998534E-18,3.492506E-17
5851.091,1.05147176E-16,4.141138E-18,4.014771E-17
5856.612,9.392086E-17,4.083169E-18,4.717203E-17
5862.133,9.002539E-17,4.07038E-18,4.8770784E-17
5867.654,1.0489075E-16,4.1743595E-18,4.4148363E-17
5873.175,1.07757996E-16,4.315977E-18,5.990796E-17
5878.696,1.0206249E-16,4.4853434E-18,9.0567046E-17
5884.2173,9.647693E-17,4.5379013E-18,1.05261506E-16
5889.7383,9.80326E-17,4.5261487E-18,1.0206059E-16
5895.2593,9.742775E-17,4.516346E-18,1.00960636E-16
5900.7803,8.7891686E-17,4.470118E-18,1.06611636E-16
5906.3013,9.354419E-17,4.4074363E-18,9.089485E-17
5911.8223,1.01843165E-16,4.2709204E-18,6.244159E-17
5917.3438,1.0921388E-16,4.253996E-18,5.14121E-17
5922.8647,9.774298E-17,4.1594277E-18,5.3418977E-17
5928.3857,9.298757E-17,4.1258863E-18,5.4445713E-17
5933.9067,9.679539E-17,4.14503E-18,5.2296754E-17
5939.4277,9.700673E-17,4.134677E-18,5.0954617E-17
5944.9487,9.129794E-17,4.0661217E-18,4.8677796E-17
5950.47,9.634569E-17,4.109331E-18,4.7884493E-17
5955.991,9.42097E-17,4.0692584E-18,4.6358788E-17
5961.512,8.36538E-17,4.006834E-18,5.0617246E-17
5967.033,8.178218E-17,3.9675495E-18,4.8117533E-17
5972.554,9.3993175E-17,4.066223E-18,4.5371277E-17
5978.075,7.9006317E-17,3.921793E-18,4.56364E-17
5983.5967,8.30931E-17,3.942499E-18,4.3796173E-17
5989.1177,8.464245E-17,3.9489028E-18,4.226878E-17
5994.6387,8.2349324E-17,3.9005904E-18,3.9497924E-17
6000.1597,7.849958E-17,3.8589005E-18,3.8713204E-17
6005.6807,7.6804355E-17,3.858059E-18,4.0701723E-17
6011.2017,7.1769585E-17,3.7875376E-18,3.8635486E-17
6016.723,7.036505E-17,3.7558363E-18,3.684678E-17
6022.244,7.431914E-17,3.7959165E-18,3.753005E-17
6027.765,6.5492144E-17,3.7055657E-18,3.6506382E-17
6033.286,6.715289E-17,3.7151374E-18,3.5806644E-17
6038.807,7.1380955E-17,3.748566E-18,3.4426595E-17
6044.328,6.730502E-17,3.7247343E-18,3.65274E-17
6049.8496,7.144602E-17,3.7379506E-18,3.41117E-17
6055.3706,6.412906E-17,3.669133E-18,3.4791326E-17
6060.8916,5.4503606E-17,3.5688373E-18,3.514006E-17
6066.4126,6.496271E-17,3.653732E-18,3.116191E-17
6071.9336,7.720604E-17,3.77919E-18,3.170309E-17
6077.4546,6.915426E-17,3.7271964E-18,3.4831388E-17
6082.976,6.04699E-17,3.626571E-18,3.4784933E-17
6088.497,6.0016566E-17,3.6097724E-18,3.2938004E-17
6094.018,6.873452E-17,3.679171E-18,2.9573983E-17
